VIN,County,City,States,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Electric_Utility
5UXTS1C00L,King,Kirkland,WA,98033,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JN1AZ0CP3B,Clark,Vancouver,WA,98682,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1G1RA6S51H,King,Seattle,WA,98122,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JTDKARFP5H,King,Bothell,WA,98011,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WP0AB2Y19M,King,Lake Forest Park,WA,98155,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2C4RC1L72J,Kitsap,Bainbridge Island,WA,98110,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,PUGET SOUND ENERGY INC
KMHM34AC3P,King,Renton,WA,98057,2023,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WB523CF02R,King,Kirkland,WA,98034,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WVGGNPE28M,King,Seattle,WA,98125,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WBY33AW05P,King,Bellevue,WA,98005,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WP1AE2A26G,Clark,Vancouver,WA,98662,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1GYKPMRK5P,King,Seattle,WA,98102,2023,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1RA6S59H,King,Tukwila,WA,98168,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JA4T5VA91P,Clark,Washougal,WA,98671,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)
5YJXCAE28H,King,Newcastle,WA,98059,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTDKN3DP8C,Jefferson,Port Townsend,WA,98368,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
WVGTMPE28N,Thurston,Olympia,WA,98501,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJYGDEF6L,King,Bellevue,WA,98006,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1RA6E42E,King,Bothell,WA,98011,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WP0AB2Y13R,King,Bellevue,WA,98005,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCAE43G,King,Bellevue,WA,98004,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FZ6S09K,King,Seattle,WA,98125,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
7SAXCBE54P,King,Redmond,WA,98052,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ0CP7G,King,Woodinville,WA,98072,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4H60DJ9R,King,Kirkland,WA,98033,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDC34LA1P,King,Seattle,WA,98102,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1C4RJXP64R,King,Tukwila,WA,98188,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJXU68R,Thurston,Yelm,WA,98597,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,PUGET SOUND ENERGY INC
WVGJNPE20M,King,Kirkland,WA,98034,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAXCBE5XN,King,Kirkland,WA,98033,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDCT3L12P,King,Kirkland,WA,98033,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FADP5FU9H,King,Shoreline,WA,98177,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
YV4BR0DM5N,Kitsap,Bainbridge Island,WA,98110,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,PUGET SOUND ENERGY INC
KNDCC3LG1K,King,Bellevue,WA,98006,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDAEFS57R,King,Lake Forest Park,WA,98155,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WBY7Z6C58J,King,Kirkland,WA,98033,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FZ6S09N,King,Redmond,WA,98052,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4ED3UR2N,King,Bellevue,WA,98005,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FZ6S05N,Jefferson,Port Townsend,WA,98368,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
50EA1GBA8N,King,Seattle,WA,98125,2022,LUCID,AIR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KM8KN4AE2N,King,Bellevue,WA,98004,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3FMTK3SU2P,King,Burien,WA,98166,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2C4RC1L73P,King,Tukwila,WA,98188,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WA1F2AFY0R,King,Bellevue,WA,98006,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JN1AF0BA8P,King,Seattle,WA,98122,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
SALWR2RY3L,King,Seattle,WA,98101,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WA1M2BFZ5P,Clark,Camas,WA,98607,2023,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
SADHD2S14K,King,Bothell,WA,98011,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JA4T5WA98R,King,Kirkland,WA,98033,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1E23M,King,Lake Forest Park,WA,98155,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1H17E,Kitsap,Bainbridge Island,WA,98110,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC
7SAYGDEF2P,King,Bothell,WA,98011,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCBE29M,King,Redmond,WA,98052,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FMCU0LZ5M,King,Seattle,WA,98133,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KM8HC3A64R,King,Kirkland,WA,98034,2024,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAXCBE6XP,King,Kirkland,WA,98034,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1RF6E49D,Yakima,Grandview,WA,98930,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN
KM8K33AG0L,King,Seattle,WA,98144,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WAUTPBFF6J,King,Kirkland,WA,98033,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ1BV9N,Kitsap,Bremerton,WA,98312,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5YJSA1E17H,King,Kirkland,WA,98033,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY73AW00N,King,Seattle,WA,98177,2022,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1FY6S0XL,King,Kirkland,WA,98033,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDED4R,King,Redmond,WA,98052,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDRMDLH1R,King,Seattle,WA,98112,2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1FX6S03J,King,Seattle,WA,98133,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1RB6S56H,Clark,Vancouver,WA,98682,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
YV4BR0CL0M,Yakima,Yakima,WA,98908,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,PACIFICORP
WBAJA9C51J,King,Seattle,WA,98122,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1RA6E41E,Snohomish,Everett,WA,98208,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,PUGET SOUND ENERGY INC
1FMCU0LZXN,Kitsap,Bainbridge Island,WA,98110,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,PUGET SOUND ENERGY INC
2C4RC1L78P,King,Tukwila,WA,98188,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1RA6E41C,King,Seattle,WA,98101,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
7FCTGAAA1N,King,Seattle,WA,98177,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1N4BZ1CV8M,Clark,Ridgefield,WA,98642,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
JTMABACA2P,King,Seattle,WA,98133,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3FMTK3SU0N,Yakima,Yakima,WA,98908,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PACIFICORP
WBY83FB09R,King,Duvall,WA,98019,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY33AW06P,King,Kirkland,WA,98034,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTDKARFP4K,Clark,Vancouver,WA,98686,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1G1FZ6S08K,King,Duvall,WA,98019,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTMABACA6P,King,Kent,WA,98030,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY8P8C00L,King,Seattle,WA,98112,2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WB523CF09R,King,Kirkland,WA,98034,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5UXTA6C02N,Kitsap,Bainbridge Island,WA,98110,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,PUGET SOUND ENERGY INC
JTMAB3FV1P,Clark,Washougal,WA,98671,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
JTMEB3FV0M,King,Seattle,WA,98133,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
JTDKAMFP6N,King,Seattle,WA,98125,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
YV4BR0CZ6N,King,Seattle,WA,98177,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3FMTK3SS4N,King,Kirkland,WA,98034,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WAUFJBFW4P,King,Shoreline,WA,98177,2023,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3FA6P0SU8K,Thurston,Olympia,WA,98516,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,PUGET SOUND ENERGY INC
5YJ3E1EC6P,Thurston,Yelm,WA,98597,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
5UXTA6C0XN,King,Seattle,WA,98199,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1RD6S55K,Yakima,Yakima,WA,98908,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,PACIFICORP
5YJSA1CN6D,King,Seattle,WA,98133,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3FA6P0PU6F,Clark,Vancouver,WA,98685,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1N4BZ0CP1G,King,Redmond,WA,98052,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCBE49G,Clark,Vancouver,WA,98662,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
YV4H60CZ8N,King,Seattle,WA,98125,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1H29F,King,Sammamish,WA,98074,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJYE61N,King,Bothell,WA,98011,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4BR0DK1M,King,Seattle,WA,98144,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
7PDSGABA4R,King,Redmond,WA,98052,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FADP5EU4H,King,Woodinville,WA,98072,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2C4RC1N75P,King,Bellevue,WA,98005,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1V2VMPE89P,King,Seattle,WA,98125,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1E50P,Clark,Battle Ground,WA,98604,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1N4AZ1CV6N,King,Redmond,WA,98052,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJYGDED7M,Clark,Vancouver,WA,98686,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
YV4BR00Z7N,Kitsap,Bainbridge Island,WA,98110,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,PUGET SOUND ENERGY INC
7SAXCAE56R,King,Auburn,WA,98092,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S08L,Thurston,Olympia,WA,98501,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,PUGET SOUND ENERGY INC
JTMCB3FV5M,Clark,Vancouver,WA,98685,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
WBY8P2C00L,King,Seattle,WA,98122,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
YV4BR0DM3N,King,Seattle,WA,98125,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YM23CS02R,King,Tukwila,WA,98168,2024,BMW,XM,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
SADHD2S1XN,King,Bellevue,WA,98004,2022,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTDACACUXR,Clark,Vancouver,WA,98664,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
1N4AZ1CV5N,King,Bothell,WA,98011,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FTVW1EVXP,Snohomish,Bothell,WA,98012,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,PUGET SOUND ENERGY INC
WP0AH2A7XJ,King,Kent,WA,98042,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,184400,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
